1	100.00	0
3	0.59	-44
5	69.75	-174
7	47.03	-171
9	0.32	-96
11	6.86	17
13	4.52	-178
15	0.37	-124
17	7.56	9
19	3.81	9
21	0.43	-163
23	2.59	11
25	3.70	10
